rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0209.jpg,83.6,0.5868,0.6607,0.375,0.72,4,3,False,False
77,frame_0333.jpg,133.2,0.5828,0.6836,0.75,0.08,10,6,False,False
78,frame_0020.jpg,8.0,0.5801,0.6853,0.125,1.0,4,1,False,False
79,frame_0211.jpg,84.4,0.577,0.598,0.5,0.64,4,4,False,False
80,frame_0177.jpg,70.8,0.5769,0.7737,0.5,0.2,9,4,False,False
81,frame_0386.jpg,154.4,0.5761,0.7561,0.5,0.24,11,4,False,False
82,frame_0395.jpg,158.0,0.576,0.654,0.75,0.12,10,6,False,False
83,frame_0174.jpg,69.6,0.5747,0.7214,0.5,0.32,7,4,False,False
84,frame_0014.jpg,5.6,0.5746,0.5243,0.375,1.0,5,3,False,False
85,frame_0391.jpg,156.4,0.5738,0.6066,0.875,0.04,14,7,False,False
86,frame_0397.jpg,158.8,0.5718,0.8387,0.375,0.2,11,3,False,False
87,frame_0184.jpg,73.6,0.5707,0.8095,0.5,0.08,6,4,False,False
88,frame_0076.jpg,30.4,0.5697,0.5464,0.375,0.92,5,3,False,False
89,frame_0330.jpg,132.0,0.5681,0.6703,0.75,0.04,12,6,False,False
90,frame_0398.jpg,159.2,0.5678,0.7395,0.5,0.24,11,4,False,False
91,frame_0327.jpg,130.8,0.567,0.668,0.75,0.04,12,6,False,False
92,frame_0089.jpg,35.6,0.5663,0.5976,0.625,0.4,6,5,False,False
93,frame_0231.jpg,92.4,0.5657,0.6174,0.75,0.16,8,6,False,False
94,frame_0003.jpg,1.2,0.5652,0.4303,0.5,1.0,8,4,False,False
95,frame_0082.jpg,32.8,0.5625,0.5531,0.5,0.68,7,4,False,False
96,frame_0118.jpg,47.2,0.5605,0.57,0.625,0.44,7,5,False,False
97,frame_0080.jpg,32.0,0.5585,0.4379,0.625,0.76,7,5,False,False
98,frame_0207.jpg,82.8,0.5582,0.5713,0.375,0.8,4,3,False,False
99,frame_0114.jpg,45.6,0.5536,0.6202,0.625,0.28,6,5,False,False
100,frame_0321.jpg,128.4,0.5533,0.6516,0.625,0.2,8,5,False,False
101,frame_0389.jpg,155.6,0.5526,0.6822,0.625,0.12,12,5,False,False
102,frame_0295.jpg,118.0,0.5482,0.5994,0.375,0.68,7,3,False,False
103,frame_0318.jpg,127.2,0.5462,0.6214,0.625,0.24,9,5,False,False
104,frame_0285.jpg,114.0,0.5449,0.6998,0.25,0.6,6,2,False,False
105,frame_0298.jpg,119.2,0.5438,0.6386,0.375,0.56,6,3,False,False
106,frame_0081.jpg,32.4,0.5436,0.4992,0.5,0.72,7,4,False,False
107,frame_0028.jpg,11.2,0.5388,0.5276,0.25,1.0,6,2,False,False
108,frame_0124.jpg,49.6,0.5387,0.6553,0.25,0.68,7,2,False,False
109,frame_0329.jpg,131.6,0.5375,0.743,0.5,0.08,14,4,False,False
110,frame_0208.jpg,83.2,0.5357,0.4674,0.5,0.76,6,4,False,False
111,frame_0390.jpg,156.0,0.5338,0.7356,0.5,0.08,12,4,False,False
112,frame_0106.jpg,42.4,0.5333,0.8255,0.375,0.04,7,3,False,False
113,frame_0300.jpg,120.0,0.5314,0.4958,0.625,0.48,7,5,False,False
114,frame_0120.jpg,48.0,0.5297,0.5514,0.5,0.52,6,4,False,False
115,frame_0328.jpg,131.2,0.5283,0.6496,0.625,0.08,13,5,False,False
116,frame_0215.jpg,86.0,0.527,0.562,0.5,0.48,7,4,False,False
117,frame_0296.jpg,118.4,0.5262,0.4963,0.5,0.64,6,4,False,False
118,frame_0275.jpg,110.0,0.5258,0.7466,0.375,0.2,6,3,False,False
119,frame_0086.jpg,34.4,0.5228,0.4626,0.625,0.52,6,5,False,False
120,frame_0126.jpg,50.4,0.5226,0.5911,0.25,0.76,8,2,False,False
121,frame_0376.jpg,150.4,0.5213,0.7537,0.375,0.16,8,3,False,False
122,frame_0384.jpg,153.6,0.5193,0.8246,0.25,0.16,6,2,False,False
123,frame_0332.jpg,132.8,0.5172,0.7934,0.375,0.04,9,3,False,False
124,frame_0130.jpg,52.0,0.5169,0.5907,0.125,0.92,8,1,False,False
125,frame_0286.jpg,114.4,0.5167,0.6274,0.25,0.64,7,2,False,False
126,frame_0168.jpg,67.2,0.5165,0.584,0.375,0.56,7,3,False,False
127,frame_0230.jpg,92.0,0.5151,0.6822,0.5,0.12,10,4,False,False
128,frame_0274.jpg,109.6,0.5148,0.7406,0.375,0.16,7,3,False,False
129,frame_0188.jpg,75.2,0.5119,0.6328,0.625,0.04,12,5,False,False
130,frame_0125.jpg,50.0,0.5097,0.5814,0.25,0.72,8,2,False,False
131,frame_0122.jpg,48.8,0.5077,0.6254,0.25,0.6,4,2,False,False
132,frame_0023.jpg,9.2,0.5068,0.3885,0.375,1.0,5,3,False,False
133,frame_0109.jpg,43.6,0.5054,0.6038,0.625,0.08,9,5,False,False
134,frame_0113.jpg,45.2,0.5028,0.5345,0.625,0.24,8,5,False,False
135,frame_0214.jpg,85.6,0.4997,0.5663,0.375,0.52,4,3,False,False
136,frame_0233.jpg,93.2,0.4997,0.6034,0.5,0.24,10,4,False,False
137,frame_0315.jpg,126.0,0.4978,0.6476,0.5,0.12,10,4,False,False
138,frame_0277.jpg,110.8,0.4977,0.6584,0.375,0.28,8,3,False,False
139,frame_0202.jpg,80.8,0.4975,0.6801,0.125,0.6,5,1,False,False
140,frame_0304.jpg,121.6,0.4934,0.7089,0.25,0.32,6,2,False,False
141,frame_0108.jpg,43.2,0.4917,0.5924,0.625,0.04,8,5,False,False
142,frame_0385.jpg,154.0,0.4909,0.6017,0.5,0.2,10,4,False,False
143,frame_0094.jpg,37.6,0.4904,0.6007,0.5,0.2,7,4,False,False
144,frame_0103.jpg,41.2,0.4903,0.4667,0.75,0.16,8,6,False,False
145,frame_0223.jpg,89.2,0.4889,0.5388,0.625,0.16,8,5,False,False
146,frame_0119.jpg,47.6,0.4878,0.4836,0.5,0.48,8,4,False,False
147,frame_0305.jpg,122.0,0.4862,0.5604,0.5,0.28,5,4,False,False
148,frame_0370.jpg,148.0,0.4861,0.7312,0.375,0.04,12,3,False,False
149,frame_0303.jpg,121.2,0.4822,0.5954,0.375,0.36,8,3,False,False
150,frame_0010.jpg,4.0,0.4813,0.4876,0.125,1.0,2,1,False,False
151,frame_0172.jpg,68.8,0.4779,0.4208,0.625,0.4,8,5,False,False
152,frame_0222.jpg,88.8,0.4764,0.5728,0.5,0.2,5,4,False,False
153,frame_0316.jpg,126.4,0.4753,0.5116,0.625,0.16,8,5,False,False
154,frame_0131.jpg,52.4,0.4752,0.4164,0.25,0.96,6,2,False,False
155,frame_0013.jpg,5.2,0.4746,0.3992,0.25,1.0,4,2,False,False
156,frame_0317.jpg,126.8,0.474,0.568,0.5,0.2,11,4,False,False
157,frame_0232.jpg,92.8,0.4728,0.5657,0.5,0.2,9,4,False,False
158,frame_0203.jpg,81.2,0.4727,0.4644,0.375,0.64,5,3,False,False
159,frame_0297.jpg,118.8,0.4698,0.5495,0.25,0.6,5,2,False,False
160,frame_0289.jpg,115.6,0.4688,0.5586,0.125,0.76,9,1,False,False
161,frame_0314.jpg,125.6,0.4683,0.6046,0.5,0.08,6,4,False,False
162,frame_0012.jpg,4.8,0.465,0.3799,0.25,1.0,5,2,False,False
163,frame_0093.jpg,37.2,0.4612,0.5265,0.5,0.24,6,4,False,False
164,frame_0171.jpg,68.4,0.4597,0.4434,0.5,0.44,6,4,False,False
165,frame_0206.jpg,82.4,0.4577,0.4614,0.25,0.76,6,2,False,False
166,frame_0280.jpg,112.0,0.4576,0.5302,0.375,0.4,5,3,False,False
167,frame_0269.jpg,107.6,0.4567,0.5974,0.5,0.04,8,4,False,False
168,frame_0193.jpg,77.2,0.4565,0.5921,0.375,0.24,7,3,False,False
169,frame_0024.jpg,9.6,0.4551,0.3601,0.25,1.0,6,2,False,False
170,frame_0276.jpg,110.4,0.4549,0.5889,0.375,0.24,11,3,False,False
171,frame_0112.jpg,44.8,0.4524,0.5997,0.375,0.2,7,3,False,False
172,frame_0090.jpg,36.0,0.4512,0.5335,0.375,0.36,8,3,False,False
173,frame_0183.jpg,73.2,0.4501,0.7341,0.25,0.04,4,2,False,False
174,frame_0178.jpg,71.2,0.4481,0.6072,0.375,0.16,7,3,False,False
175,frame_0308.jpg,123.2,0.4466,0.5292,0.5,0.16,9,4,False,False
176,frame_0320.jpg,128.0,0.446,0.646,0.25,0.24,9,2,False,False
177,frame_0096.jpg,38.4,0.4446,0.6162,0.375,0.12,6,3,False,False
178,frame_0091.jpg,36.4,0.4441,0.5353,0.375,0.32,6,3,False,False
179,frame_0216.jpg,86.4,0.4438,0.5616,0.25,0.44,5,2,False,False
180,frame_0019.jpg,7.6,0.4395,0.4039,0.125,1.0,3,1,False,False
181,frame_0309.jpg,123.6,0.4394,0.5308,0.5,0.12,8,4,False,False
182,frame_0373.jpg,149.2,0.4389,0.5888,0.375,0.16,7,3,False,False
183,frame_0032.jpg,12.8,0.4381,0.4011,0.125,1.0,8,1,False,False
184,frame_0201.jpg,80.4,0.4381,0.4272,0.375,0.56,5,3,False,False
185,frame_0229.jpg,91.6,0.4358,0.5396,0.5,0.08,8,4,False,False
186,frame_0027.jpg,10.8,0.4321,0.3892,0.125,1.0,7,1,False,False
187,frame_0325.jpg,130.0,0.4309,0.4707,0.625,0.04,10,5,False,False
188,frame_0268.jpg,107.2,0.4304,0.5288,0.5,0.08,7,4,False,False
189,frame_0097.jpg,38.8,0.4297,0.4524,0.625,0.08,7,5,False,False
190,frame_0087.jpg,34.8,0.4259,0.5097,0.25,0.48,5,2,False,False
191,frame_0098.jpg,39.2,0.4257,0.5355,0.5,0.04,8,4,False,False
192,frame_0191.jpg,76.4,0.4222,0.4804,0.5,0.16,8,4,False,False
193,frame_0022.jpg,8.8,0.422,0.294,0.25,1.0,5,2,False,False
194,frame_0088.jpg,35.2,0.4195,0.513,0.25,0.44,8,2,False,False
195,frame_0180.jpg,72.0,0.4188,0.5056,0.5,0.08,7,4,False,False
196,frame_0100.jpg,40.0,0.4187,0.5214,0.5,0.04,7,4,False,False
197,frame_0393.jpg,157.2,0.4184,0.5209,0.5,0.04,10,4,False,False
198,frame_0394.jpg,157.6,0.4165,0.576,0.375,0.08,11,3,False,False
199,frame_0371.jpg,148.4,0.4161,0.5001,0.5,0.08,7,4,False,False
200,frame_0121.jpg,48.4,0.4154,0.4569,0.25,0.56,6,2,False,False
201,frame_0221.jpg,88.4,0.4152,0.4345,0.5,0.24,9,4,False,False
202,frame_0228.jpg,91.2,0.4104,0.5798,0.375,0.04,9,3,False,False
203,frame_0210.jpg,84.0,0.4103,0.4736,0.125,0.68,7,1,False,False
204,frame_0281.jpg,112.4,0.4102,0.4944,0.25,0.44,6,2,False,False
205,frame_0200.jpg,80.0,0.4089,0.4598,0.25,0.52,3,2,False,False
206,frame_0283.jpg,113.2,0.4084,0.4588,0.25,0.52,6,2,False,False
207,frame_0194.jpg,77.6,0.404,0.471,0.375,0.28,6,3,False,False
208,frame_0192.jpg,76.8,0.4011,0.4972,0.375,0.2,8,3,False,False
209,frame_0205.jpg,82.0,0.3968,0.3556,0.25,0.72,5,2,False,False
210,frame_0226.jpg,90.4,0.3947,0.5484,0.375,0.04,7,3,False,False
211,frame_0278.jpg,111.2,0.3943,0.5106,0.25,0.32,8,2,False,False
212,frame_0092.jpg,36.8,0.3941,0.4513,0.375,0.28,6,3,False,False
213,frame_0219.jpg,87.6,0.3935,0.434,0.375,0.32,5,3,False,False
214,frame_0195.jpg,78.0,0.3925,0.4319,0.375,0.32,5,3,False,False
215,frame_0189.jpg,75.6,0.3918,0.6015,0.25,0.08,5,2,False,False
216,frame_0204.jpg,81.6,0.3796,0.3372,0.25,0.68,5,2,False,False
217,frame_0196.jpg,78.4,0.375,0.4561,0.25,0.36,3,2,False,False
218,frame_0199.jpg,79.6,0.3745,0.4821,0.125,0.48,2,1,False,False
219,frame_0372.jpg,148.8,0.3721,0.5461,0.25,0.12,10,2,False,False
220,frame_0181.jpg,72.4,0.371,0.426,0.5,0.04,7,4,False,False
221,frame_0267.jpg,106.8,0.3706,0.5431,0.25,0.12,5,2,False,False
222,frame_0105.jpg,42.0,0.3679,0.4788,0.375,0.08,7,3,False,False
223,frame_0323.jpg,129.2,0.3637,0.4543,0.375,0.12,9,3,False,False
224,frame_0083.jpg,33.2,0.3618,0.3175,0.25,0.64,5,2,False,False
225,frame_0212.jpg,84.8,0.3608,0.3316,0.25,0.6,7,2,False,False
226,frame_0322.jpg,128.8,0.359,0.504,0.25,0.16,8,2,False,False
227,frame_0399.jpg,159.6,0.3533,0.4445,0.25,0.28,9,2,False,False
228,frame_0382.jpg,152.8,0.3524,0.5228,0.25,0.08,8,2,False,False
229,frame_0324.jpg,129.6,0.3499,0.4428,0.375,0.08,8,3,False,False
230,frame_0025.jpg,10.0,0.3463,0.2925,0.0,1.0,3,0,False,False
231,frame_0009.jpg,3.6,0.3458,0.2166,0.125,1.0,4,1,False,False
232,frame_0273.jpg,109.2,0.3436,0.4142,0.375,0.12,6,3,False,False
233,frame_0104.jpg,41.6,0.3427,0.4125,0.375,0.12,5,3,False,False
234,frame_0381.jpg,152.4,0.3352,0.4295,0.375,0.04,10,3,False,False
235,frame_0225.jpg,90.0,0.3333,0.5596,0.125,0.08,6,1,False,False
236,frame_0217.jpg,86.8,0.3296,0.4242,0.125,0.4,6,1,False,False
